Type,Sex,Month,L,M,S
HFA,1,61,1.0,110.2647,0.04164
HFA,1,62,1.0,110.8006,0.04172
HFA,1,63,1.0,111.3338,0.0418
HFA,1,64,1.0,111.8636,0.04187
HFA,1,65,1.0,112.3895,0.04195
HFA,1,66,1.0,112.911,0.04203
HFA,1,67,1.0,113.428,0.04211
HFA,1,68,1.0,113.941,0.04218
HFA,1,69,1.0,114.45,0.04226
HFA,1,70,1.0,114.9547,0.04234
HFA,1,71,1.0,115.4549,0.04241
HFA,1,72,1.0,115.9509,0.04249
HFA,1,73,1.0,116.4432,0.04257
HFA,1,74,1.0,116.9325,0.04264
HFA,1,75,1.0,117.4196,0.04272
HFA,1,76,1.0,117.9046,0.0428
HFA,1,77,1.0,118.388,0.04287
HFA,1,78,1.0,118.87,0.04295
HFA,1,79,1.0,119.3508,0.04303
HFA,1,80,1.0,119.8303,0.04311
HFA,1,81,1.0,120.3085,0.04318
HFA,1,82,1.0,120.7853,0.04326
HFA,1,83,1.0,121.2604,0.04334
HFA,1,84,1.0,121.7338,0.04342
HFA,1,85,1.0,122.2053,0.0435
HFA,1,86,1.0,122.675,0.04358
HFA,1,87,1.0,123.1429,0.04366
HFA,1,88,1.0,123.6092,0.04374
HFA,1,89,1.0,124.0736,0.04382
HFA,1,90,1.0,124.5361,0.0439
HFA,1,91,1.0,124.9964,0.04398
HFA,1,92,1.0,125.4545,0.04406
HFA,1,93,1.0,125.9104,0.04414
HFA,1,94,1.0,126.364,0.04422
HFA,1,95,1.0,126.8156,0.0443
HFA,1,96,1.0,127.2651,0.04438
HFA,1,97,1.0,127.7129,0.04446
HFA,1,98,1.0,128.159,0.04454
HFA,1,99,1.0,128.6034,0.04462
HFA,1,100,1.0,129.0466,0.0447
HFA,1,101,1.0,129.4887,0.04478
HFA,1,102,1.0,129.93,0.04487
HFA,1,103,1.0,130.3705,0.04495
HFA,1,104,1.0,130.8103,0.04503
HFA,1,105,1.0,131.2495,0.04511
HFA,1,106,1.0,131.6884,0.04519
HFA,1,107,1.0,132.1269,0.04527
HFA,1,108,1.0,132.5652,0.04535
HFA,1,109,1.0,133.0031,0.04543
HFA,1,110,1.0,133.4404,0.04551
HFA,1,111,1.0,133.877,0.04559
HFA,1,112,1.0,134.313,0.04566
HFA,1,113,1.0,134.7483,0.04574
HFA,1,114,1.0,135.1829,0.04582
HFA,1,115,1.0,135.6168,0.04589
HFA,1,116,1.0,136.0501,0.04597
HFA,1,117,1.0,136.4829,0.04604
HFA,1,118,1.0,136.9153,0.04612
HFA,1,119,1.0,137.3474,0.04619
HFA,1,120,1.0,137.7795,0.04626
HFA,1,121,1.0,138.2119,0.04633
HFA,1,122,1.0,138.6452,0.0464
HFA,1,123,1.0,139.0797,0.04647
HFA,1,124,1.0,139.5158,0.04654
HFA,1,125,1.0,139.954,0.04661
HFA,1,126,1.0,140.3948,0.04667
HFA,1,127,1.0,140.8387,0.04674
HFA,1,128,1.0,141.2859,0.0468
HFA,1,129,1.0,141.7368,0.04686
HFA,1,130,1.0,142.1916,0.04692
HFA,1,131,1.0,142.6501,0.04698
HFA,1,132,1.0,143.1126,0.04703
HFA,1,133,1.0,143.5795,0.04709
HFA,1,134,1.0,144.0511,0.04714
HFA,1,135,1.0,144.5276,0.04719
HFA,1,136,1.0,145.0093,0.04723
HFA,1,137,1.0,145.4964,0.04728
HFA,1,138,1.0,145.9891,0.04732
HFA,1,139,1.0,146.4878,0.04736
HFA,1,140,1.0,146.9927,0.0474
HFA,1,141,1.0,147.5041,0.04744
HFA,1,142,1.0,148.0224,0.04747
HFA,1,143,1.0,148.5478,0.0475
HFA,1,144,1.0,149.0807,0.04753
HFA,1,145,1.0,149.6212,0.04755
HFA,1,146,1.0,150.1694,0.04758
HFA,1,147,1.0,150.7256,0.04759
HFA,1,148,1.0,151.2899,0.04761
HFA,1,149,1.0,151.8623,0.04762
HFA,1,150,1.0,152.4425,0.04763
HFA,1,151,1.0,153.0298,0.04763
HFA,1,152,1.0,153.6234,0.04764
HFA,1,153,1.0,154.2223,0.04763
HFA,1,154,1.0,154.8258,0.04763
HFA,1,155,1.0,155.4329,0.04762
HFA,1,156,1.0,156.0426,0.0476
HFA,1,157,1.0,156.6539,0.04758
HFA,1,158,1.0,157.266,0.04756
HFA,1,159,1.0,157.8775,0.04754
HFA,1,160,1.0,158.4871,0.04751
HFA,1,161,1.0,159.0937,0.04747
HFA,1,162,1.0,159.6962,0.04744
HFA,1,163,1.0,160.2939,0.0474
HFA,1,164,1.0,160.8861,0.04735
HFA,1,165,1.0,161.472,0.0473
HFA,1,166,1.0,162.0505,0.04725
HFA,1,167,1.0,162.6207,0.0472
HFA,1,168,1.0,163.1816,0.04714
HFA,1,169,1.0,163.7321,0.04707
HFA,1,170,1.0,164.2717,0.04701
HFA,1,171,1.0,164.7994,0.04694
HFA,1,172,1.0,165.3145,0.04687
HFA,1,173,1.0,165.8165,0.04679
HFA,1,174,1.0,166.305,0.04671
HFA,1,175,1.0,166.7799,0.04663
HFA,1,176,1.0,167.2415,0.04655
HFA,1,177,1.0,167.6899,0.04646
HFA,1,178,1.0,168.1255,0.04637
HFA,1,179,1.0,168.5482,0.04628
HFA,1,180,1.0,168.958,0.04619
HFA,1,181,1.0,169.3549,0.04609
HFA,1,182,1.0,169.7389,0.04599
HFA,1,183,1.0,170.1099,0.04589
HFA,1,184,1.0,170.468,0.04579
HFA,1,185,1.0,170.8136,0.04569
HFA,1,186,1.0,171.1468,0.04559
HFA,1,187,1.0,171.468,0.04548
HFA,1,188,1.0,171.7773,0.04538
HFA,1,189,1.0,172.0748,0.04527
HFA,1,190,1.0,172.3606,0.04516
HFA,1,191,1.0,172.6345,0.04506
HFA,1,192,1.0,172.8967,0.04495
HFA,1,193,1.0,173.147,0.04484
HFA,1,194,1.0,173.3856,0.04473
HFA,1,195,1.0,173.6126,0.04462
HFA,1,196,1.0,173.828,0.04451
HFA,1,197,1.0,174.0321,0.0444
HFA,1,198,1.0,174.2251,0.04429
HFA,1,199,1.0,174.4071,0.04418
HFA,1,200,1.0,174.5784,0.04407
HFA,1,201,1.0,174.7392,0.04396
HFA,1,202,1.0,174.8896,0.04385
HFA,1,203,1.0,175.0301,0.04375
HFA,1,204,1.0,175.1609,0.04364
HFA,1,205,1.0,175.2824,0.04353
HFA,1,206,1.0,175.3951,0.04343
HFA,1,207,1.0,175.4995,0.04332
HFA,1,208,1.0,175.5959,0.04322
